name,height_cm,reach_in,stance,DOB
AJ Cunningham,177.8,71.0,Orthodox,1994-09-07
AJ Dobson,185.42,76.0,Orthodox,1992-01-18
AJ Fletcher,177.8,67.0,Switch,1997-02-18
Aalon Cruz,182.88,78.0,Switch,1989-09-20
Aaron Phillips,175.26,71.0,Southpaw,1989-08-05
Aaron Pico,172.72,70.0,Orthodox,1996-09-23
Aaron Riley,172.72,69.0,Southpaw,1980-12-09
Aaron Rosa,193.04,77.0,Orthodox,1983-05-28
Aaron Simpson,182.88,73.0,Orthodox,1974-07-20
Aaron Wilkinson,177.8,,Orthodox,1987-01-31
Abdul Rakhman Yakhyaev,187.96,78.0,Orthodox,2001-01-03
Abdul Razak Alhassan,177.8,73.0,Orthodox,1985-08-11
Abdul-Kareem Al-Selwady,172.72,69.0,Orthodox,1995-04-10
Abdul-Kerim Edilov,187.96,,Orthodox,1991-11-25
Abel Trujillo,172.72,70.0,Orthodox,1983-09-18
Abner Lloveras,180.34,,,1982-09-04
Abu Azaitar,175.26,76.0,Orthodox,1986-03-10
Abubakar Nurmagomedov,180.34,72.0,Orthodox,1989-11-13
Abus Magomedov,187.96,78.0,Orthodox,1990-09-02
Adam Cella,187.96,,,1985-06-26
Adam Fugitt,185.42,77.0,Southpaw,1989-01-12
Adam Milstead,190.5,76.0,Orthodox,1987-07-03
Adam Wieczorek,195.58,81.0,Orthodox,1992-02-05
Adam Yandiev,175.26,74.0,Orthodox,1988-08-07
Adlan Amagov,187.96,76.0,Orthodox,1986-10-30
Adrian Yanez,170.18,70.0,Orthodox,1993-11-29
Adriano Martins,177.8,72.0,Southpaw,1982-12-16
Aiemann Zahabi,172.72,68.0,Orthodox,1987-11-19
Ailin Perez,165.1,66.0,Switch,1994-10-05
Aisling Daly,157.48,64.0,Orthodox,1987-12-24
Akbarh Arreola,177.8,71.0,Southpaw,1983-01-14
Akihiro Gono,170.18,68.0,Switch,1974-10-07
Akira Corassani,172.72,68.0,Orthodox,1982-08-27
Al Iaquinta,177.8,70.0,Orthodox,1987-04-30
Alan Baudot,190.5,79.0,Orthodox,1988-02-01
Alan Belcher,187.96,75.0,Orthodox,1984-04-24
Alan Jouban,182.88,73.0,Southpaw,1981-11-25
Alan Omer,177.8,,Orthodox,1988-09-14
Alan Patrick,180.34,74.0,Southpaw,1983-07-19
Alatengheili,165.1,66.0,Orthodox,1991-12-14
Albert Cheng,180.34,,Orthodox,1985-02-07
Albert Duraev,180.34,75.0,Orthodox,1989-01-05
Albert Morales,175.26,72.0,Orthodox,1991-05-25
