R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_landed,B_SIG_STR_landed,R_SIG_STR_pct,B_SIG_STR_pct,R_total_STR_landed,B_total_STR_landed,R_total_STR_pct,B_total_STR_pct,R_TD_landed,B_TD_landed,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,R_CTRL_time_seconds,B_CTRL_time_seconds,R_HEAD_STR_landed,B_HEAD_STR_landed,R_HEAD_STR_pct,B_HEAD_STR_pct,R_BODY_STR_landed,B_BODY_STR_landed,R_BODY_STR_pct,B_BODY_STR_pct,R_LEG_STR_landed,B_LEG_STR_landed,R_LEG_STR_pct,B_LEG_STR_pct,R_DISTANCE_STR_landed,B_DISTANCE_STR_landed,R_DISTANCE_STR_pct,B_DISTANCE_STR_pct,R_CLINCH_STR_landed,B_CLINCH_STR_landed,R_CLINCH_STR_pct,B_CLINCH_STR_pct,R_GND_STR_landed,B_GND_STR_landed,R_GND_STR_pct,B_GND_STR_pct,winner,win_type,finish_type,decision_type,last_round,last_round_time,format,date,title_bout,weight_class
Brandon Moreno,Lone'er Kavanagh,0,0,79,97,47.0,47.0,134,136,58.52,55.51,0,0,0.0,0.0,0,0,0,0,440,0,51,60,38.35,37.5,15,18,71.43,75.0,13,19,92.86,90.48,69,92,44.81,46.46,10,5,71.43,71.43,0,0,,,blue,decision,,unanimous,5,5:00,5,2026-02-28,False,Flyweight
Marlon Vera,David Martinez,0,0,42,71,28.0,45.0,52,86,33.33,49.71,0,2,,50.0,0,0,0,0,4,103,26,48,23.01,38.1,11,16,52.38,80.0,5,7,45.45,77.78,41,67,28.87,45.27,1,1,33.33,50.0,0,3,,60.0,blue,decision,,unanimous,3,5:00,3,2026-02-28,False,Bantamweight
Daniel Zellhuber,King Green,0,1,17,86,21.0,64.0,17,100,21.79,67.57,0,3,,100.0,1,0,0,0,0,125,7,39,11.86,54.17,4,21,40.0,72.41,6,26,66.67,78.79,17,71,22.08,59.66,0,5,0.0,100.0,0,10,,100.0,blue,finish,KO/TKO,,2,4:55,3,2026-02-28,False,Lightweight
Edgar Chairez,Felipe Bunes,0,0,66,54,48.0,40.0,69,113,49.64,55.94,0,1,,33.0,0,0,0,0,0,230,41,44,39.42,38.26,18,5,78.26,50.0,7,5,77.78,71.43,63,52,47.37,40.31,1,2,100.0,66.67,2,0,100.0,,red,decision,,split,3,5:00,3,2026-02-28,False,Flyweight
Imanol Rodriguez,Kevin Borjas,1,2,46,22,54.0,42.0,55,24,59.14,44.44,1,0,33.0,,0,0,0,0,213,0,35,17,52.24,37.78,7,3,63.64,60.0,4,2,66.67,100.0,30,20,47.62,40.82,2,2,50.0,66.67,14,0,82.35,,red,finish,KO/TKO,,2,4:21,3,2026-02-28,False,Flyweight
Santiago Luna,Angel Pacheco,0,0,131,56,57.0,25.0,155,77,60.31,32.35,5,1,100.0,100.0,1,0,0,0,203,43,97,41,55.11,21.03,30,13,63.83,68.42,4,2,100.0,100.0,102,52,53.68,24.76,24,4,75.0,66.67,5,0,100.0,,red,decision,,unanimous,3,5:00,3,2026-02-28,False,Bantamweight
Ryan Gandra,Jose Daniel Medina,1,0,14,0,48.0,0.0,14,0,48.28,0.0,0,0,,,0,0,0,0,0,0,14,0,51.85,0.0,0,0,0.0,0.0,0,0,,,13,0,46.43,0.0,0,0,,,1,0,100.0,,red,finish,KO/TKO,,1,0:41,3,2026-02-28,False,Middleweight
Ailin Perez,Macy Chiasson,0,0,27,8,71.0,34.0,68,41,81.93,55.41,6,0,60.0,0.0,0,0,0,2,456,231,14,4,73.68,25.0,9,4,69.23,57.14,4,0,66.67,,8,1,53.33,6.25,10,3,76.92,100.0,9,4,90.0,100.0,red,decision,,unanimous,3,5:00,3,2026-02-28,False,Women's Bantamweight
Cristian Quinonez,Kris Moutinho,0,0,38,28,62.0,39.0,54,32,67.5,42.67,7,0,70.0,0.0,2,0,0,0,426,31,34,13,64.15,25.49,4,7,50.0,63.64,0,8,,88.89,35,28,60.34,39.44,0,0,,,3,0,100.0,,red,decision,,unanimous,3,5:00,3,2026-02-28,False,Bantamweight
Douglas Silva de Andrade,Javier Reyes,0,1,17,46,62.0,61.0,19,87,65.52,69.6,0,1,,50.0,0,0,0,0,4,117,8,42,53.33,60.87,2,4,50.0,80.0,7,0,87.5,0.0,17,9,65.38,28.12,0,0,0.0,,0,37,,86.05,blue,finish,KO/TKO,,1,4:59,3,2026-02-28,False,Featherweight
